key,code,period-start,period-end,location,instructor,contact-email,link,published,key:training-module
training-session-01,TS-A-001,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-02,TS-A-000,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-03,TS-AA-000,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-04,TS-AAA-000,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-05,TS-ZZZ-999,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-06,TS-ZZ-999,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-07,TS-Z-999,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-08,TS-ABC-555,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-09,TS-A-002,2000/01/08 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-09
training-session-10,TS-A-003,2000/01/08 00:01,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-09
training-session-11,TS-A-004,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-12,TS-A-005,2200/12/24 23:58,2200/12/31 23:58,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-13,TS-A-006,2200/12/24 23:59,2200/12/31 23:59,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-14,TS-A-007,2000/01/08 00:00,2000/01/15 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-09
training-session-15,TS-A-008,2000/01/08 00:00,2000/01/15 00:01,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-09
training-session-16,TS-A-009,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-17,TS-A-010,2022/08/01 00:00,2200/12/31 23:58,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-18,TS-A-011,2022/08/01 00:00,2200/12/31 23:59,Lorem ipsum,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-19,TS-A-012,2022/08/01 00:00,2022/08/08 00:00,L,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-20,TS-A-013,2022/08/01 00:00,2022/08/08 00:00,Lo,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-21,TS-A-014,2022/08/01 00:00,2022/08/08 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-22,TS-A-015,2022/08/01 00:00,2022/08/08 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-23,TS-A-016,2022/08/01 00:00,2022/08/08 00:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-24,TS-A-017,2022/08/01 00:00,2022/08/08 00:00,<h1>!</h1>,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-25,TS-A-018,2022/08/01 00:00,2022/08/08 00:00,' or 'dawd='A,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-26,TS-A-019,2022/08/01 00:00,2022/08/08 00:00,sol y luna,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-27,TS-A-020,2022/08/01 00:00,2022/08/08 00:00,dwadawdaw,Lorem ipsum,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-28,TS-A-021,2022/08/01 00:00,2022/08/08 00:00,dddddddddddddddddddddddd,L,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-29,TS-A-022,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,Lo,acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
training-session-30,TS-A-023,2022/08/01 00:00,2022/08/08 00:00,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit",acme@lorem-ipsum.org,http://www.lorem-ipsum.org,false,training-module-01
