key,code,moment,duration-start-time,duration-end-time,amount,type,email,link,draftMode,key:project,key:sponsor
sponsorship-01,A-120,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-02,A-000,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-03,AA-000,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-04,AAA-000,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-05,Z-999,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-06,ZZ-999,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-07,ZZZ-999,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-08,VGT-777,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-09,ABC-124,1984/04/22 0:00,1985/08/01 13:00,1995/10/02 0:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-10,ABC-125,1970/01/01 0:01,1970/01/02 0:01,1970/02/15 0:01,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-11,ABC-126,2022/05/01 0:00,2200/05/05 13:00,2200/12/31 23:58,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-12,ABC-127,2000/07/27 23:59,2000/08/06 23:59,2000/10/07 23:59,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-13,ABC-128,1993/07/28 0:00,1993/08/07 13:00,1993/10/08 13:00,EUR 20000.4,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-14,ABC-129,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,USD 0.00,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-15,ABC-130,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,GBP 0.00,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-16,ABC-131,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 0.00,FINANCIAL,sponsor@acme.com,https://snap.fan/,true,project-01,sponsor-01
